	TF	Target	Sources	PMIDs	N	Factor / Gene Name
0	ESR2	TDG	HTRI	20034404	1	ESR2 / TDG
1	RUNX2	SMAD6	TFacTs	|17215250	2	RUNX2 / SMAD6
2	MYC	CLP1	HTRI	12747840	1	MYC / CLP1
3	FOXO3	MYOCD	TRRUST	18772130	1	FOXO3 / MYOCD
4	NFKB1	PDE7A	TRRUST	12737631	1	NFKB1 / PDE7A
5	PLAGL2	SFTPC	TRRUST	17618602|18655774	2	PLAGL2 / SFTPC
6	STAT1	GBP1	PAZAR	1281555	1	STAT1 / GBP1
7	RB1	RBL1	TRRUST	9671466	1	RB1 / RBL1
8	GLI2	CEACAM7	TFacTs	|14691458	2	GLI2 / CEACAM7
9	NFKB1	TFF3	TRRUST	12912861|12297725	2	NFKB1 / TFF3
10	REST	HTR1A	PAZAR	14756806	1	REST / HTR1A
11	MAX	FASLG	TRRUST	10734130	1	MAX / FASLG
12	TWIST1	ICAM1	TRRUST	17487558	1	TWIST1 / ICAM1
13	SP1	ADAM10	TRRUST	21854868	1	SP1 / ADAM10
14	GLI1	NKX2-2	Fastforward	20711444	1	GLI1 / NKX2-2
15	CEBPB	SLC5A8	TRRUST	20082847	1	CEBPB / SLC5A8
16	GTF3A	PLAUR	PAZAR	9988707	1	GTF3A / PLAUR
17	EGR1	CACNA1H	TRRUST	22431737	1	EGR1 / CACNA1H
18	STAT3	IL2	TRRUST	18550668	1	STAT3 / IL2
19	STAT2	PML	HTRI|TRRUST	17062732|17062732	1	STAT2 / PML
20	RELA	CTSB	TRRUST	15102937|18598236	2	RELA / CTSB
21	MEF2C	JUN	TRRUST	10523670|12054430|10849446	3	MEF2C / JUN
22	MYCN	TP73	Fastforward	12192602	1	MYCN / TP73
23	SP4	PHOX2A	Fastforward	11549713	1	SP4 / PHOX2A
24	TP63	CCND3	HTRI	19861536	1	TP63 / CCND3
25	MZF1	MYB	Fastforward	7565760	1	MZF1 / MYB
26	YY1	IL1B	TRRUST	22467534	1	YY1 / IL1B
27	SP3	LAMA1	TRRUST	17141338	1	SP3 / LAMA1
28	GATA2	PROS1	ORegAnno	22951020	1	GATA2 / PROS1
29	MITF	FOS	TRRUST	14737107	1	MITF / FOS
30	DEK	CXCL8	TRRUST	16829531	1	DEK / CXCL8
31	EGR1	TGFBR2	TRRUST	10982796	1	EGR1 / TGFBR2
32	NFE2L1	CDK11B	TRRUST	12115485	1	NFE2L1 / CDK11B
33	ETV4	TNF	TRRUST	7896795	1	ETV4 / TNF
34	HDAC4	PTPA	TRRUST	18045992	1	HDAC4 / PTPA
35	MTA1	EGFR	TRRUST	11948399	1	MTA1 / EGFR
36	TP53	E2F1	Fastforward|TRRUST	9032231|8524253|8557038	3	TP53 / E2F1
37	IRF1	CASP8	HTRI	17036321	1	IRF1 / CASP8
38	MYC	HLA-E	TRRUST	8206526	1	MYC / HLA-E
39	ZBTB16	CXCR4	TRRUST	18568019	1	ZBTB16 / CXCR4
40	HMGN1	TFF1	TRRUST	17938209	1	HMGN1 / TFF1
41	WT1	CX3CL1	TRRUST	17430890	1	WT1 / CX3CL1
42	SP3	MAT2A	TRRUST	11124935	1	SP3 / MAT2A
43	JUN	NTS	TRRUST	7791794	1	JUN / NTS
44	RELA	ABCB1	TFacTs|TRRUST	|12527911|19763573|18234965	4	RELA / ABCB1
45	EWSR1	NR0B1	TRRUST	18591936	1	EWSR1 / NR0B1
46	YY1	GDAP1	TRRUST	19720140	1	YY1 / GDAP1
47	DACH1	FOS	TRRUST	17182846	1	DACH1 / FOS
48	FOSL1	VIP	PAZAR	10464293	1	FOSL1 / VIP
49	RXRA	NR1D1	Fastforward	10076997|12114512|12821652|8622974	4	RXRA / NR1D1
50	RELA	PLIN1	TRRUST	17272828	1	RELA / PLIN1
51	IRF5	TNF	TRRUST	20237317	1	IRF5 / TNF
52	ATF4	CXCL8	TRRUST	16931790	1	ATF4 / CXCL8
53	CUX1	WNT5A	TRRUST	17227781|23359789	2	CUX1 / WNT5A
54	FOXM1	FGB	TRRUST	15737987	1	FOXM1 / FGB
55	PGR	EGFR	TRRUST	22542550	1	PGR / EGFR
56	NCOR2	IGF1	TRRUST	18193094	1	NCOR2 / IGF1
57	PITX3	TH	TRRUST	22223473	1	PITX3 / TH
58	USF1	SF1	HTRI|TRRUST	18165439|18165439	1	USF1 / SF1
59	ZFP36	SERPINB2	TRRUST	12578825	1	ZFP36 / SERPINB2
60	JUN	MAP3K1	TRRUST	9710625	1	JUN / MAP3K1
61	ERCC2	BCL2	TRRUST	22387547	1	ERCC2 / BCL2
62	CRX	BEST1	TRRUST	18849347	1	CRX / BEST1
63	YY1	IVL	TRRUST	8550612	1	YY1 / IVL
64	POU5F1	DDC	TRRUST	9602135	1	POU5F1 / DDC
65	NFE2	TBXAS1	HTRI	11956185	1	NFE2 / TBXAS1
66	CEBPD	TP63	Fastforward	17903252	1	CEBPD / TP63
67	E2F3	FOXO1	TFacTs	|17482685	2	E2F3 / FOXO1
68	TP63	POF1B	HTRI	17521434	1	TP63 / POF1B
69	E2F1	THBS1	TFacTs|TRRUST	|20976175|20976175	2	E2F1 / THBS1
70	NHLH2	MAOA	TRRUST	22169038	1	NHLH2 / MAOA
71	HDAC4	SMAD4	TRRUST	23817620	1	HDAC4 / SMAD4
72	AR	TJP1	TRRUST	18535113	1	AR / TJP1
73	NR1I2	SMS	HTRI	19129222	1	NR1I2 / SMS
74	E2F1	FLT1	ORTI|TFacTs|TRRUST	20516113||20516113|20516113	2	E2F1 / FLT1
75	EZH2	IGFBP1	TRRUST	21903722	1	EZH2 / IGFBP1
76	JUND	MUC5B	PAZAR	15262961	1	JUND / MUC5B
77	SMAD4	BAMBI	TFacTs|TRRUST	15240101|15240101	1	SMAD4 / BAMBI
