TF	Target	Sources	PMIDs	N
ESR2	TDG	HTRI	20034404	1
RUNX2	SMAD6	TFacTs	|17215250	2
MYC	CLP1	HTRI	12747840	1
FOXO3	MYOCD	TRRUST	18772130	1
NFKB1	PDE7A	TRRUST	12737631	1
PLAGL2	SFTPC	TRRUST	17618602|18655774	2
STAT1	GBP1	PAZAR	1281555	1
RB1	RBL1	TRRUST	9671466	1
GLI2	CEACAM7	TFacTs	|14691458	2
NFKB1	TFF3	TRRUST	12912861|12297725	2
REST	HTR1A	PAZAR	14756806	1
MAX	FASLG	TRRUST	10734130	1
TWIST1	ICAM1	TRRUST	17487558	1
SP1	ADAM10	TRRUST	21854868	1
GLI1	NKX2-2	Fastforward	20711444	1
CEBPB	SLC5A8	TRRUST	20082847	1
GTF3A	PLAUR	PAZAR	9988707	1
EGR1	CACNA1H	TRRUST	22431737	1
STAT3	IL2	TRRUST	18550668	1
STAT2	PML	HTRI|TRRUST	17062732|17062732	1
RELA	CTSB	TRRUST	15102937|18598236	2
MEF2C	JUN	TRRUST	10523670|12054430|10849446	3
MYCN	TP73	Fastforward	12192602	1
SP4	PHOX2A	Fastforward	11549713	1
TP63	CCND3	HTRI	19861536	1
MZF1	MYB	Fastforward	7565760	1
YY1	IL1B	TRRUST	22467534	1
SP3	LAMA1	TRRUST	17141338	1
GATA2	PROS1	ORegAnno	22951020	1
MITF	FOS	TRRUST	14737107	1
DEK	CXCL8	TRRUST	16829531	1
EGR1	TGFBR2	TRRUST	10982796	1
NFE2L1	CDK11B	TRRUST	12115485	1
ETV4	TNF	TRRUST	7896795	1
HDAC4	PTPA	TRRUST	18045992	1
MTA1	EGFR	TRRUST	11948399	1
TP53	E2F1	Fastforward|TRRUST	9032231|8524253|8557038	3
IRF1	CASP8	HTRI	17036321	1
MYC	HLA-E	TRRUST	8206526	1
ZBTB16	CXCR4	TRRUST	18568019	1
HMGN1	TFF1	TRRUST	17938209	1
WT1	CX3CL1	TRRUST	17430890	1
SP3	MAT2A	TRRUST	11124935	1
JUN	NTS	TRRUST	7791794	1
RELA	ABCB1	TFacTs|TRRUST	|12527911|19763573|18234965	4
EWSR1	NR0B1	TRRUST	18591936	1
YY1	GDAP1	TRRUST	19720140	1
DACH1	FOS	TRRUST	17182846	1
FOSL1	VIP	PAZAR	10464293	1
RXRA	NR1D1	Fastforward	10076997|12114512|12821652|8622974	4
RELA	PLIN1	TRRUST	17272828	1
IRF5	TNF	TRRUST	20237317	1
ATF4	CXCL8	TRRUST	16931790	1
CUX1	WNT5A	TRRUST	17227781|23359789	2
FOXM1	FGB	TRRUST	15737987	1
PGR	EGFR	TRRUST	22542550	1
NCOR2	IGF1	TRRUST	18193094	1
PITX3	TH	TRRUST	22223473	1
USF1	SF1	HTRI|TRRUST	18165439|18165439	1
ZFP36	SERPINB2	TRRUST	12578825	1
JUN	MAP3K1	TRRUST	9710625	1
ERCC2	BCL2	TRRUST	22387547	1
CRX	BEST1	TRRUST	18849347	1
YY1	IVL	TRRUST	8550612	1
POU5F1	DDC	TRRUST	9602135	1
NFE2	TBXAS1	HTRI	11956185	1
CEBPD	TP63	Fastforward	17903252	1
E2F3	FOXO1	TFacTs	|17482685	2
TP63	POF1B	HTRI	17521434	1
E2F1	THBS1	TFacTs|TRRUST	|20976175|20976175	2
NHLH2	MAOA	TRRUST	22169038	1
HDAC4	SMAD4	TRRUST	23817620	1
AR	TJP1	TRRUST	18535113	1
NR1I2	SMS	HTRI	19129222	1
E2F1	FLT1	ORTI|TFacTs|TRRUST	20516113||20516113|20516113	2
EZH2	IGFBP1	TRRUST	21903722	1
JUND	MUC5B	PAZAR	15262961	1
SMAD4	BAMBI	TFacTs|TRRUST	15240101|15240101	1
SMAD1	GADD45B	TFacTs	|16144844	2
SLC2A4RG	HTT	Fastforward	14625278	1
RELA	CCL13	TRRUST	10049733	1
ETS1	TP53	TRRUST	10510472	1
LMO4	DLG4	TRRUST	18424056	1
MYCN	RARA	Fastforward	9334253	1
JUN	LBP	TRRUST	15114678	1
SREBF1	CETP	HTRI|TFacTs|TRRUST	10393213||10393213|10393213	2
XBP1	PRNP	TRRUST	23737521	1
MYCN	XRCC2	HTRI	16093321	1
TP53	FLT1	TRRUST	16432214|1724219e	2
HDAC11	TNFSF4	TRRUST	21239696	1
NFKB1	CD69	TRRUST	10480634	1
EAPP	ABCB1	TRRUST	23542036	1
ELK1	DAP3	TRRUST	19536094	1
E2F4	BIRC5	HTRI|TRRUST	17671431|18504435	2
IRF7	CXCL10	TRRUST	24701034	1
KLF6	PMAIP1	TRRUST	22718761	1
CNOT7	PMP22	TRRUST	15937477	1
SP1	RASSF1	TRRUST	19450668	1
SP1	DPYSL2	TRRUST	15207709	1
ESR2	NOTCH2	HTRI	19376833	1
NFKB1	NOX4	TRRUST	20622120	1
SREBF1	FABP6	TRRUST	11684682	1
SP1	MIF	HTRI|TRRUST	21087445|18034423	2
IRF1	CDK1	TRRUST	22200613	1
SP1	PTK6	HTRI|TRRUST	11997104|11997104	1
MYC	HERPUD1	HTRI	12695333	1
ERG	TDRD1	TRRUST	23319146|23555854	2
SP1	ATF2	Fastforward|TRRUST	2145272|2145272	1
TP53	DCC	ORegAnno|PAZAR	15843459|15843459	1
E2F4	MFAP1	HTRI	11799066	1
GATA3	TEK	HTRI|TRRUST	19674970|19674970	1
E2F2	CUX1	TRRUST	18347061	1
CTCF	MMP10	ORegAnno	22951020	1
RUNX1	PRKCQ	TRRUST	21252065	1
RUNX1	CSF1	TRRUST	9632776	1
IRF1	SOCS2	TRRUST	22291912	1
SP1	ST6GAL1	TRRUST	10814704	1
ATF4	FGF19	TRRUST	23205607	1
NR1I2	BCL2	TRRUST	16085054	1
WT1	CKM	TRRUST	8389468	1
ZEB2	POU5F1	TRRUST	23049906	1
ATM	TERF1	TRRUST	17694070	1
MYB	NMU	TRRUST	15187020	1
MYC	PRDM8	HTRI	12747840	1
WT1	VDR	Fastforward|TRRUST	11050081|23362234|11050081|11773605	3
ESR1	NRF1	HTRI|TRRUST	18048642|21486948	2
ESR1	PLAC1	TRRUST	19652226|24304549	2
ERG	ENG	TRRUST	22235125|19359602	2
NFYA	CDKN2A	HTRI	19340300	1
CEBPZ	MLH1	HTRI|TRRUST	11704838|11704838	1
NFIC	ITGA5	TRRUST	18775869	1
HIF3A	EPAS1	TRRUST	19755485	1
FOXO4	SOD2	TRRUST	21536589	1
GFI1	CYP27B1	TRRUST	15947108|17207994	2
HDAC1	POU5F1	TRRUST	22867868	1
MYB	MYB	HTRI|Fastforward|TRRUST	7655015|10567569|1944282|7655015	3
TP53	BDKRB2	TRRUST	15632413	1
CTNNB1	APCDD1	TFacTs	pmid: 12384519	1
SP1	ELF4	TRRUST	15907486	1
E2F4	POLE3	TFacTs	|16403426	2
NR2F2	HEY2	TRRUST	23345397	1
GATA3	FUT7	TRRUST	17075044	1
SF1	MC2R	TRRUST	12530626	1
POU2F1	TXNRD1	TRRUST	11375392	1
KLF2	WEE1	TRRUST	15735666	1
USF2	DCK	HTRI	14514691	1
YY1	THBS1	TFacTs	|15365249	2
NFKB1	BCL3	TRRUST	11387332	1
VHL	SPARC	TRRUST	15824735	1
HDAC9	MMP13	TRRUST	18054336	1
GATA1	CTSE	TFacTs	|11322887	2
SP1	UGT1A4	HTRI|TRRUST	19546240|19546240	1
RELA	NOLC1	TRRUST	21266110	1
IFI16	BRCA1	TRRUST	22618232	1
NFYA	CDK1	Fastforward	10438472|10514438|7760824	3
STAT1	AGFG2	ORegAnno	22951020	1
NFKB1	TIMP1	TRRUST	14600595|11426939	2
TCF7L2	CXCL8	TFacTs	pmid: 16132617|pmid: 12200448	2
MYC	UCP3	HTRI	12695333	1
CIITA	SIRT1	TRRUST	22064865	1
EAPP	MAOB	TRRUST	20980443	1
STAT1	IGFLR1	ORegAnno	22951020	1
E2F6	UXT	TFacTs	|12909625	2
STAT1	ZNF655	ORegAnno	22951020	1
MYC	MSN	HTRI	12695333	1
RB1	CDKN1A	TRRUST	14527674|9671466	2
NFKB1	BTG2	TRRUST	17363596	1
TP53	CASP10	HTRI	14688482	1
